"","player_name","poss","mp","raptor_box_offense","raptor_box_defense","raptor_box_total","raptor_onoff_offense","raptor_onoff_defense","raptor_onoff_total","raptor_offense","raptor_defense","raptor_total","war_total","war_reg_season","predator_offense","predator_defense","predator_total","pace_impact","playoff"
"200","Tim Frazier",-0.111958063277872,-0.18002303627589,0.401452513290371,-0.250576970811975,0.091088740767124,0.152147602510383,-0.139014500226524,0.00585877984973504,0.35891354937986,-0.241236142882745,0.0765909987999432,-0.303292870706093,-0.303292870706093,0.237338982843696,-0.237313343782493,0.00142670054150801,-0.453841361960906,"1"
"201","Tim Frazier",-0.969878792716839,-0.997396199817517,-0.151243300551909,-1.09479524601716,-0.857609827064976,-0.427599610018139,-0.511134345712348,-0.647215465894732,-0.266097445358718,-1.06332204278861,-0.9014000525453,-0.724590120221301,-0.724590120221301,-0.278349462279892,-1.14537648473459,-0.929838367091506,0.339686665967653,"0"
"202","Jimmer Fredette",-1.16567704156922,-1.16836537156118,-2.32946307103518,-1.38983281651315,-2.49735955663568,-1.11872915146252,-1.12078208876296,-1.54188750502044,-2.14600090213692,-1.47516600733679,-2.4417404122164,-0.710647339551678,-0.710647339551678,-1.96381049041871,-1.45675942038182,-2.24167501666271,-1.12958771569553,"0"
"203","Channing Frye",-0.844753284574492,-0.845163375662199,-0.449135345183,-1.71102572799376,-1.48054923172308,-0.601010173225159,-1.12273839522112,-1.1924751160452,-0.533394809467301,-1.70606960859364,-1.51763505302089,-1.08069319305558,-1.08069319305558,-0.421061098136476,-1.83551607681353,-1.47365571773978,-0.365349373848983,"0"
"204","Markelle Fultz",-0.708621365993697,-0.744455507374836,-0.335880499644839,-0.0284648078907448,-0.241058733340088,-0.430843361585911,0.312003957841264,-0.0736976966013381,-0.408897908159766,0.0796467170337496,-0.21997372436096,-0.574800839848974,-0.574800839848974,-0.28773356842276,0.15723714882793,-0.0867852838871769,-0.852365923369739,"0"
"205","Danilo Gallinari",1.27600822148632,1.16665194663653,1.48584880951999,0.319108041583398,1.20012701162304,0.775279137882132,-0.240853624148287,0.356833903466644,1.4008297822394,0.175718373648471,1.05861077080852,2.33362635124397,2.33362635124397,1.57059844057184,0.297454975053007,1.2271904864412,-0.584905402760841,"1"
"206","Langston Galloway",0.857185340065404,0.798951125215226,0.333010748938593,-0.100748415671778,0.14971194394659,0.211063323335391,-0.075777817158709,0.0900058529102979,0.328376357956595,-0.106087333733549,0.148012935229166,0.0578125337048274,0.0578125337048274,0.265552396297179,-0.0645493902005172,0.132619616014867,-0.450220975082412,"1"
"207","Billy Garrett",-1.16857346536881,-1.17070741500972,-1.25106315323055,-1.47261083527108,-1.84397948717983,-0.50033443426057,-0.121773143889745,-0.424171763591203,-1.10309032048709,-1.20029851551472,-1.55566604773664,-0.641021913302329,-0.641021913302329,-1.29924577138831,-1.83856213822971,-2.05338293654317,-1.20756350575862,"0"
"208","Marc Gasol",-0.459528919228838,-0.485659706310796,0.0994338082148163,1.73153048794806,1.2642842505936,0.6812125444168,0.304553559600316,0.674565215574665,0.292685934168789,1.47895552680963,1.20183512175636,0.481836800566645,0.481836800566645,0.283623715298179,1.60539427596812,1.23321247413927,0.440160123979139,"1"
"209","Marc Gasol",0.820111115430634,0.849305059358908,-0.0674986533018376,0.930861784737107,0.599961586393027,0.167830137349813,0.399427311104589,0.393078960510793,0.0182845523466493,0.870624213894894,0.604238834212181,1.01142573165497,1.01142573165497,-0.0046248113736706,1.13122713480823,0.734450318134944,-0.881208776913694,"0"
"210","Pau Gasol",-0.837801867455472,-0.858044614629188,0.00105677387263275,0.347883430937063,0.241539497413553,-0.343805867469477,-0.247873789036992,-0.40631251146817,-0.116665549970361,0.197469195128391,0.0560553011557239,-0.461197271325951,-0.461197271325951,-0.201579819309231,0.0904638745296288,-0.0736385426262087,-0.396438698266611,"0"
"211","Pau Gasol",-1.20970268332301,-1.20935113191069,-2.18123726705425,-2.24368005336296,-2.99080234900131,-1.4850360925165,-1.56879892128249,-2.10342874471571,-2.18363590277526,-2.34067988035877,-3.05547721671905,-0.641335209547775,-0.641335209547775,-2.03452941977602,-2.00065612152837,-2.64278802602152,1.01353984660714,"0"
"212","Rudy Gay",0.964932305410203,0.912540232469579,0.618897071956092,0.407085341847992,0.689695226382318,0.295455026385825,0.442283663770834,0.509525636233324,0.56521711528379,0.47365183059407,0.700986959218635,1.27385566737925,1.27385566737925,0.576080002672498,0.447161515843761,0.670515069063838,-0.269685781827953,"1"
"213","Paul George",2.32972719977766,2.08239093501698,1.6421096759146,0.901221194551764,1.70610875142532,0.865093952153812,0.881401793030914,1.20261063791777,1.55206549057266,1.00750234577084,1.72557205645377,5.71809954661817,5.71809954661817,1.84537567017765,1.50534634274815,2.19543473830156,1.23729821491198,"1"
"214","Taj Gibson",0.822428254470307,0.729860843483198,0.373995439067837,-0.294042815186506,0.0429021306514267,0.304957180704819,-0.0135528539042758,0.197144761206282,0.385022942241735,-0.231901645863118,0.100442000645678,-0.0558973379360628,-0.0558973379360628,0.359343561820466,-0.0603326267609032,0.197072159234871,-0.593403998955496,"0"
"215","Harry Giles III",-0.193637214426349,-0.284243969736069,-0.617729762926024,-0.0426838568024646,-0.436647275311943,-0.136613883163993,0.0535857169502223,-0.055084106583629,-0.523154861166671,-0.0132152063712666,-0.359714232490326,-0.74407616395314,-0.74407616395314,-0.503886174171706,-0.01414515523295,-0.340719146202162,1.35094169264419,"0"
"216","Shai Gilgeous-Alexander",1.46080005990025,1.30131944492777,0.0610918965640082,0.391734510871965,0.311462425227441,-0.000140930676714224,-0.387004006733921,-0.270772034828799,0.0393591896869672,0.184515206903399,0.151847877614098,0.217656435800898,0.217656435800898,-0.0324099348409558,0.397752294646107,0.237988975578104,0.0626437391630173,"1"
"217","Rudy Gobert",1.90047719267822,1.77324119980926,0.484410367720798,1.5180954009641,1.37022867832835,0.385079161814564,0.335551493101673,0.495600378349326,0.498574497320629,1.30876749246537,1.22414569016322,3.57120422817253,3.57120422817253,0.644739009325204,1.82634260198511,1.61482869618292,-0.00599442318241573,"1"
